"Statistic","Quarter","Composite Economic","Private sector","Public sector","Services","Production","Construction (Private Sector)"
"Quarterly percentage change","2013Q2",-0.69,-1.03,0.28,-1.48,1.97,-7.43
"Quarterly percentage change","2013Q3",2.01,2.64,0.25,2.6,2.79,3.61
"Quarterly percentage change","2013Q4",-0.91,-0.38,-2.39,0.11,-0.3,-5.96
"Quarterly percentage change","2014Q1",-0.01,0.24,-0.75,0.08,-0.88,5.42
"Quarterly percentage change","2014Q2",0.36,0.33,0.42,0.1,0.7,0.32
"Quarterly percentage change","2014Q3",0,-0.1,0.28,-0.37,0.1,2.07
"Quarterly percentage change","2014Q4",0.46,0.68,-0.19,0.7,-0.78,5.46
"Quarterly percentage change","2015Q1",0.77,1.17,-0.45,-0.43,1.98,11.3
"Quarterly percentage change","2015Q2",0.4,0.64,-0.35,1.08,-0.57,0.59
"Quarterly percentage change","2015Q3",-0.14,-0.02,-0.55,0.53,-0.14,-4.13
"Quarterly percentage change","2015Q4",0.2,0.52,-0.85,0.3,0.1,3.38
"Quarterly percentage change","2016Q1",0.35,0.52,-0.2,1.09,-1.38,2.15
"Quarterly percentage change","2016Q2",1.07,1.6,-0.71,1.73,0.49,4.27
"Quarterly percentage change","2016Q3",-0.67,-0.74,-0.43,-0.57,-0.82,-1.78
"Quarterly percentage change","2016Q4",1.99,2.48,0.3,1.85,2.11,7.04
"Quarterly percentage change","2017Q1",0.24,0.22,0.29,0.12,1.1,-0.67
"Quarterly percentage change","2017Q2",-1.64,-2.06,-0.16,-0.73,-7.85,2.76
"Quarterly percentage change","2017Q3",-0.61,-0.81,0.09,0.72,-5.27,-1.37
"Quarterly percentage change","2017Q4",0.53,0.64,0.15,-0.11,3.51,-0.65
"Quarterly percentage change","2018Q1",0.6,0.79,-0.04,1.77,1.37,-7.71
"Quarterly percentage change","2018Q2",0.73,0.8,0.49,0.61,-0.07,5.03
"Quarterly percentage change","2018Q3",0.45,0.54,0.13,-0.47,1.69,5.79
"Quarterly percentage change","2018Q4",-0.33,-0.44,0.02,0.85,-2.52,-5.32
"Quarterly percentage change","2019Q1",0.63,0.71,0.37,-0.59,4.81,1.24
"Quarterly percentage change","2019Q2",0.03,-0.11,0.49,0.56,-1.14,-2.59
"Quarterly percentage change","2019Q3",-0.11,-0.3,0.54,-0.56,-1.09,3.03
"Quarterly percentage change","2019Q4",-0.02,-0.13,0.36,0.2,-1.14,0.01
"Quarterly percentage change","2020Q1",-3.13,-3.98,-0.13,-4.97,-2.56,-1.72
"Quarterly percentage change","2020Q2",-14.58,-19.25,1.15,-17.86,-19.2,-31.72
"Quarterly percentage change","2020Q3",19.69,27.21,-0.56,26.85,25.72,41.83
"Quarterly percentage change","2020Q4",-0.31,-0.47,0.26,-3.93,2.26,16.46
"Quarterly percentage change","2021Q1",-1.78,-2.36,0.31,-2.5,0.33,-6.9
"Quarterly percentage change","2021Q2",5.43,6.8,0.63,9.55,1.66,0.89
"Quarterly percentage change","2021Q3",1.63,1.94,0.46,2.96,0.98,-3.36
"Quarterly percentage change","2021Q4",0.5,0.4,0.86,-0.52,1.9,4.23
"Quarterly percentage change","2022Q1",-0.33,-0.74,1,-0.57,1.35,-6.4
"Quarterly percentage change","2022Q2",-0.21,-0.38,0.35,0.04,-1.9,-0.75
"Quarterly percentage change","2022Q3",0.02,-0.04,0.19,-0.15,1.2,-1.2
"Quarterly percentage change","2022Q4",1.16,1.3,0.71,0.84,-1.09,10.27
"Quarterly percentage change","2023Q1",0.99,1.24,0.17,1.4,0.16,2.55
"Quarterly percentage change","2023Q2",-0.62,-0.89,0.26,-0.23,-1.51,-4.32
"Quarterly percentage change","2023Q3",0.65,0.57,0.88,1,-1.45,1.6
"Quarterly percentage change","2023Q4",-0.4,-0.28,-0.8,0.2,-0.61,-2.85
"Quarterly percentage change","2024Q1",1.77,1.92,1.29,1.96,-0.84,6.46
"Quarterly percentage change","2024Q2",-0.03,0.35,-1.31,0.04,0.54,2.23
"Quarterly percentage change","2024Q3",1.23,1.19,1.36,0.32,1.7,5.54
"Quarterly percentage change","2024Q4",0.92,1.11,0.28,1.13,1.6,-0.17
"Quarterly percentage change","2025Q1",-1.53,-2.11,0.41,-1.44,-2.53,-5.11
"Quarterly percentage change","2025Q2",2.66,3.3,0.58,3.34,3.87,2.28
"Quarterly percentage change","2025Q3",-0.54,-0.71,0.03,-1.15,-0.48,1.95
"Quarterly percentage change","2025Q4",0.73,0.64,1.03,-0.75,1.95,7.09
"Quarterly percentage change","2026Q1",0.72,0.84,0.29,0.88,2.07,-1.21
"Annual percentage change","2006Q1",3.24,4.1,0.9,3.59,3.74,6.9
"Annual percentage change","2006Q2",2.58,3.36,0.44,3.96,1.22,4.63
"Annual percentage change","2006Q3",3.36,4.57,0.04,4.21,4.22,7.61
"Annual percentage change","2006Q4",3.18,4.43,-0.25,2.47,5.46,13.47
"Annual percentage change","2007Q1",2.22,3.06,-0.13,3.41,2.47,2.14
"Annual percentage change","2007Q2",2.5,3.36,0.09,3.53,1.38,6.21
"Annual percentage change","2007Q3",1.33,2.06,-0.74,2.31,4.94,-4.04
"Annual percentage change","2007Q4",1.01,1.47,-0.29,1.28,7.33,-8.13
"Annual percentage change","2008Q1",0.16,0.27,-0.15,0.53,3.87,-7.14
"Annual percentage change","2008Q2",-0.64,-0.53,-0.96,-1.24,5.68,-8.23
"Annual percentage change","2008Q3",-2.97,-3.48,-1.46,-3.65,0.65,-10.74
"Annual percentage change","2008Q4",-4.12,-6.21,1.98,-5.33,-7.31,-9.42
"Annual percentage change","2009Q1",-5.37,-7.92,2.12,-7.54,-9.42,-8.33
"Annual percentage change","2009Q2",-6.02,-9.07,3.04,-6.9,-13.79,-12.41
"Annual percentage change","2009Q3",-3.69,-6.42,4.28,-4.1,-13.12,-6.47
"Annual percentage change","2009Q4",-1.8,-2.6,0.43,-0.8,-6.37,-5.74
"Annual percentage change","2010Q1",-0.09,0,-0.34,1.87,-1.29,-8.85
"Annual percentage change","2010Q2",-0.02,0.46,-1.34,1.95,1.13,-11.21
"Annual percentage change","2010Q3",-3.24,-3.5,-2.54,-5.55,4.18,-10.23
"Annual percentage change","2010Q4",-3.83,-4.32,-2.48,-7.23,6.28,-14.11
"Annual percentage change","2011Q1",-3.68,-4.16,-2.37,-6.92,5.55,-13.3
"Annual percentage change","2011Q2",-2.69,-2.9,-2.16,-5.58,8.28,-16.25
"Annual percentage change","2011Q3",0.92,1.94,-1.94,1.48,8.82,-14.89
"Annual percentage change","2011Q4",0.77,1.9,-2.4,2.18,4.96,-8.52
"Annual percentage change","2012Q1",0.91,1.83,-1.7,0.5,5.19,1.79
"Annual percentage change","2012Q2",-1.61,-1.7,-1.39,-2.41,0.17,-2.9
"Annual percentage change","2012Q3",-2.41,-3,-0.73,-2.02,-4.73,-7.36
"Annual percentage change","2012Q4",-2.36,-3.26,0.22,-2.49,-4.21,-8.4
"Annual percentage change","2013Q1",-2.24,-3.08,0.21,-0.82,-5.61,-14.99
"Annual percentage change","2013Q2",-0.81,-1.34,0.69,-0.57,-1,-10.86
"Annual percentage change","2013Q3",1.42,1.62,0.87,1.51,3.85,-5.12
"Annual percentage change","2013Q4",0.68,1.53,-1.71,2.04,3.4,-10.48
"Annual percentage change","2014Q1",0.38,1.43,-2.61,1.27,3.58,-4.91
"Annual percentage change","2014Q2",1.43,2.83,-2.47,2.89,2.29,3.05
"Annual percentage change","2014Q3",-0.56,0.09,-2.44,-0.08,-0.38,1.52
"Annual percentage change","2014Q4",0.81,1.16,-0.24,0.51,-0.86,13.85
"Annual percentage change","2015Q1",1.6,2.1,0.06,-0.01,2,20.19
"Annual percentage change","2015Q2",1.64,2.4,-0.71,0.97,0.71,20.51
"Annual percentage change","2015Q3",1.5,2.49,-1.53,1.89,0.47,13.19
"Annual percentage change","2015Q4",1.23,2.33,-2.19,1.49,1.36,10.96
"Annual percentage change","2016Q1",0.81,1.67,-1.94,3.04,-1.98,1.84
"Annual percentage change","2016Q2",1.48,2.64,-2.29,3.7,-0.94,5.57
"Annual percentage change","2016Q3",0.94,1.9,-2.17,2.57,-1.61,8.15
"Annual percentage change","2016Q4",2.75,3.88,-1.03,4.15,0.36,11.98
"Annual percentage change","2017Q1",2.62,3.57,-0.55,3.14,2.89,8.89
"Annual percentage change","2017Q2",-0.12,-0.16,0,0.65,-5.65,7.31
"Annual percentage change","2017Q3",-0.06,-0.23,0.51,1.95,-9.89,7.76
"Annual percentage change","2017Q4",-1.49,-2.02,0.35,0,-8.65,0.02
"Annual percentage change","2018Q1",-1.13,-1.46,0.02,1.65,-8.41,-7.07
"Annual percentage change","2018Q2",1.25,1.42,0.68,3.02,-0.67,-5.01
"Annual percentage change","2018Q3",2.33,2.8,0.72,1.8,6.62,1.88
"Annual percentage change","2018Q4",1.45,1.7,0.6,2.78,0.41,-2.91
"Annual percentage change","2019Q1",1.48,1.62,1.01,0.4,3.82,6.5
"Annual percentage change","2019Q2",0.77,0.7,1.02,0.35,2.71,-1.22
"Annual percentage change","2019Q3",0.21,-0.15,1.44,0.26,-0.1,-3.8
"Annual percentage change","2019Q4",0.53,0.16,1.77,-0.38,1.31,1.62
"Annual percentage change","2020Q1",-3.23,-4.5,1.27,-4.78,-5.81,-1.35
"Annual percentage change","2020Q2",-17.36,-22.8,1.93,-22.22,-23.01,-30.86
"Annual percentage change","2020Q3",-0.98,-1.5,0.81,-0.78,-2.15,-4.82
"Annual percentage change","2020Q4",-1.27,-1.83,0.71,-4.88,1.23,10.84
"Annual percentage change","2021Q1",0.11,-0.17,1.16,-2.41,4.23,4.99
"Annual percentage change","2021Q2",23.57,32.04,0.64,30.15,31.14,55.15
"Annual percentage change","2021Q3",4.92,5.81,1.67,5.64,5.33,5.72
"Annual percentage change","2021Q4",5.77,6.74,2.29,9.39,4.96,-5.38
"Annual percentage change","2022Q1",7.32,8.5,2.99,11.56,6.02,-4.87
"Annual percentage change","2022Q2",1.58,1.2,2.7,1.88,2.3,-6.42
"Annual percentage change","2022Q3",-0.03,-0.77,2.42,-1.2,2.53,-4.33
"Annual percentage change","2022Q4",0.63,0.12,2.27,0.15,-0.48,1.22
"Annual percentage change","2023Q1",1.96,2.12,1.43,2.13,-1.64,10.89
"Annual percentage change","2023Q2",1.54,1.6,1.34,1.85,-1.25,6.89
"Annual percentage change","2023Q3",2.17,2.22,2.03,3.03,-3.84,9.92
"Annual percentage change","2023Q4",0.6,0.63,0.5,2.38,-3.38,-3.16
"Annual percentage change","2024Q1",1.38,1.3,1.63,2.95,-4.35,0.53
"Annual percentage change","2024Q2",1.98,2.57,0.03,3.23,-2.36,7.41
"Annual percentage change","2024Q3",2.57,3.2,0.51,2.53,0.77,11.58
"Annual percentage change","2024Q4",3.93,4.64,1.61,3.49,3.01,14.67
"Annual percentage change","2025Q1",0.56,0.51,0.72,0.04,1.26,2.21
"Annual percentage change","2025Q2",3.27,3.45,2.65,3.34,4.61,2.26
"Annual percentage change","2025Q3",1.47,1.52,1.31,1.83,2.37,-1.22
"Annual percentage change","2025Q4",1.28,1.04,2.07,-0.06,2.72,5.96
"Annual percentage change","2026Q1",3.59,4.09,1.95,2.29,7.56,10.31
"Index (2023=100)","2006Q1",97.13,96.78,99.29,94.32,98.63,126.75
"Index (2023=100)","2006Q2",97.63,97.47,99.26,94.92,100.01,126.95
"Index (2023=100)","2006Q3",98.89,98.98,99.8,96.07,100.19,134.34
"Index (2023=100)","2006Q4",98.98,99.28,99.31,96.64,99.89,134.48
"Index (2023=100)","2007Q1",99.28,99.74,99.16,97.53,101.07,129.46
"Index (2023=100)","2007Q2",100.07,100.74,99.34,98.28,101.39,134.84
"Index (2023=100)","2007Q3",100.2,101.02,99.06,98.29,105.14,128.91
"Index (2023=100)","2007Q4",99.98,100.74,99.02,97.88,107.21,123.55
"Index (2023=100)","2008Q1",99.44,100.01,99.01,98.04,104.98,120.21
"Index (2023=100)","2008Q2",99.42,100.2,98.39,97.06,107.15,123.74
"Index (2023=100)","2008Q3",97.23,97.5,97.62,94.7,105.82,115.06
"Index (2023=100)","2008Q4",95.86,94.49,100.98,92.66,99.37,111.9
"Index (2023=100)","2009Q1",94.1,92.09,101.11,90.65,95.09,110.2
"Index (2023=100)","2009Q2",93.44,91.11,101.38,90.36,92.38,108.38
"Index (2023=100)","2009Q3",93.64,91.24,101.79,90.82,91.94,107.62
"Index (2023=100)","2009Q4",94.13,92.03,101.41,91.92,93.04,105.49
"Index (2023=100)","2010Q1",94.02,92.09,100.76,92.34,93.87,100.44
"Index (2023=100)","2010Q2",93.42,91.53,100.02,92.13,93.42,96.23
"Index (2023=100)","2010Q3",90.61,88.05,99.21,85.78,95.77,96.61
"Index (2023=100)","2010Q4",90.53,88.05,98.9,85.27,98.89,90.6
"Index (2023=100)","2011Q1",90.55,88.25,98.37,85.95,99.08,87.08
"Index (2023=100)","2011Q2",90.91,88.88,97.87,86.98,101.15,80.59
"Index (2023=100)","2011Q3",91.44,89.76,97.29,87.06,104.22,82.22
"Index (2023=100)","2011Q4",91.23,89.73,96.52,87.13,103.79,82.89
"Index (2023=100)","2012Q1",91.37,89.87,96.7,86.37,104.22,88.64
"Index (2023=100)","2012Q2",89.44,87.37,96.51,84.89,101.33,78.26
"Index (2023=100)","2012Q3",89.23,87.07,96.57,85.3,99.29,76.17
"Index (2023=100)","2012Q4",89.07,86.8,96.74,84.96,99.43,75.93
"Index (2023=100)","2013Q1",89.33,87.1,96.9,85.67,98.38,75.35
"Index (2023=100)","2013Q2",88.72,86.2,97.17,84.4,100.32,69.76
"Index (2023=100)","2013Q3",90.5,88.48,97.41,86.59,103.11,72.27
"Index (2023=100)","2013Q4",89.68,88.13,95.08,86.69,102.8,67.97
"Index (2023=100)","2014Q1",89.67,88.34,94.37,86.76,101.9,71.65
"Index (2023=100)","2014Q2",89.99,88.64,94.77,86.85,102.61,71.88
"Index (2023=100)","2014Q3",89.99,88.56,95.03,86.52,102.72,73.37
"Index (2023=100)","2014Q4",90.41,89.16,94.86,87.13,101.92,77.38
"Index (2023=100)","2015Q1",91.11,90.2,94.43,86.75,103.94,86.12
"Index (2023=100)","2015Q2",91.47,90.77,94.1,87.69,103.35,86.63
"Index (2023=100)","2015Q3",91.34,90.76,93.58,88.16,103.2,83.05
"Index (2023=100)","2015Q4",91.52,91.23,92.78,88.42,103.3,85.86
"Index (2023=100)","2016Q1",91.84,91.7,92.6,89.39,101.88,87.7
"Index (2023=100)","2016Q2",92.83,93.17,91.94,90.93,102.38,91.45
"Index (2023=100)","2016Q3",92.2,92.48,91.55,90.42,101.54,89.82
"Index (2023=100)","2016Q4",94.03,94.77,91.83,92.09,103.68,96.14
"Index (2023=100)","2017Q1",94.25,94.98,92.09,92.2,104.82,95.5
"Index (2023=100)","2017Q2",92.71,93.02,91.94,91.53,96.59,98.14
"Index (2023=100)","2017Q3",92.15,92.27,92.02,92.18,91.5,96.8
"Index (2023=100)","2017Q4",92.63,92.85,92.15,92.09,94.71,96.16
"Index (2023=100)","2018Q1",93.19,93.59,92.11,93.72,96,88.75
"Index (2023=100)","2018Q2",93.87,94.34,92.56,94.29,95.94,93.22
"Index (2023=100)","2018Q3",94.29,94.85,92.68,93.85,97.56,98.61
"Index (2023=100)","2018Q4",93.98,94.44,92.7,94.65,95.1,93.37
"Index (2023=100)","2019Q1",94.57,95.1,93.05,94.09,99.67,94.52
"Index (2023=100)","2019Q2",94.6,95,93.5,94.62,98.53,92.08
"Index (2023=100)","2019Q3",94.49,94.71,94.01,94.09,97.46,94.87
"Index (2023=100)","2019Q4",94.47,94.59,94.35,94.28,96.35,94.88
"Index (2023=100)","2020Q1",91.52,90.82,94.22,89.59,93.88,93.25
"Index (2023=100)","2020Q2",78.17,73.34,95.31,73.6,75.86,63.67
"Index (2023=100)","2020Q3",93.56,93.29,94.78,93.36,95.37,90.3
"Index (2023=100)","2020Q4",93.27,92.85,95.02,89.68,97.53,105.16
"Index (2023=100)","2021Q1",91.62,90.67,95.31,87.44,97.85,97.9
"Index (2023=100)","2021Q2",96.59,96.84,95.92,95.79,99.48,98.78
"Index (2023=100)","2021Q3",98.16,98.71,96.36,98.62,100.45,95.46
"Index (2023=100)","2021Q4",98.65,99.11,97.19,98.1,102.36,99.5
"Index (2023=100)","2022Q1",98.32,98.37,98.17,97.55,103.74,93.13
"Index (2023=100)","2022Q2",98.12,98,98.51,97.59,101.77,92.44
"Index (2023=100)","2022Q3",98.13,97.96,98.7,97.44,102.99,91.33
"Index (2023=100)","2022Q4",99.27,99.23,99.4,98.25,101.87,100.71
"Index (2023=100)","2023Q1",100.25,100.46,99.57,99.62,102.04,103.27
"Index (2023=100)","2023Q2",99.62,99.56,99.83,99.39,100.5,98.81
"Index (2023=100)","2023Q3",100.27,100.13,100.71,100.39,99.04,100.39
"Index (2023=100)","2023Q4",99.86,99.85,99.9,100.59,98.43,97.53
"Index (2023=100)","2024Q1",101.63,101.76,101.19,102.56,97.6,103.82
"Index (2023=100)","2024Q2",101.6,102.12,99.86,102.61,98.13,106.14
"Index (2023=100)","2024Q3",102.84,103.34,101.22,102.93,99.8,112.02
"Index (2023=100)","2024Q4",103.79,104.48,101.5,104.1,101.39,111.83
"Index (2023=100)","2025Q1",102.2,102.28,101.92,102.6,98.83,106.11
"Index (2023=100)","2025Q2",104.92,105.65,102.51,106.03,102.65,108.53
"Index (2023=100)","2025Q3",104.35,104.9,102.54,104.82,102.16,110.65
"Index (2023=100)","2025Q4",105.11,105.57,103.6,104.03,104.15,118.49
"Index (2023=100)","2026Q1",105.87,106.46,103.91,104.95,106.31,117.06
