"Statistic","Year","Five year age bands","Females","Males","All persons"
"Mid-year population estimate",2018,"Age 90+",9354,3793,13147
"Mid-year population estimate",2018,"All",958861,927398,1886259
"Mid-year population estimate",2019,"Age 0-4",57946,61124,119070
"Mid-year population estimate",2019,"Age 5-9",61966,64712,126678
"Mid-year population estimate",2019,"Age 10-14",59848,62929,122777
"Mid-year population estimate",2019,"Age 15-19",55090,57738,112828
"Mid-year population estimate",2019,"Age 20-24",56329,60040,116369
"Mid-year population estimate",2019,"Age 25-29",60826,59161,119987
"Mid-year population estimate",2019,"Age 30-34",65115,62050,127165
"Mid-year population estimate",2019,"Age 35-39",65317,61640,126957
"Mid-year population estimate",2019,"Age 40-44",60256,57364,117620
"Mid-year population estimate",2019,"Age 45-49",64311,62298,126609
"Mid-year population estimate",2019,"Age 50-54",67551,65253,132804
"Mid-year population estimate",2019,"Age 55-59",63668,61944,125612
"Mid-year population estimate",2019,"Age 60-64",54221,52876,107097
"Mid-year population estimate",2019,"Age 65-69",46013,44942,90955
"Mid-year population estimate",2019,"Age 70-74",42724,39180,81904
"Mid-year population estimate",2019,"Age 75-79",33638,28680,62318
"Mid-year population estimate",2019,"Age 80-84",24723,18522,43245
"Mid-year population estimate",2019,"Age 85-89",15454,9426,24880
"Mid-year population estimate",2019,"Age 90+",9673,3971,13644
"Mid-year population estimate",2019,"All",964669,933850,1898519
"Mid-year population estimate",2020,"Age 0-4",56454,59686,116140
"Mid-year population estimate",2020,"Age 5-9",61484,64210,125694
"Mid-year population estimate",2020,"Age 10-14",60857,63893,124750
"Mid-year population estimate",2020,"Age 15-19",55255,57842,113097
"Mid-year population estimate",2020,"Age 20-24",54576,58397,112973
"Mid-year population estimate",2020,"Age 25-29",59282,58268,117550
"Mid-year population estimate",2020,"Age 30-34",64875,61404,126279
"Mid-year population estimate",2020,"Age 35-39",65129,61347,126476
"Mid-year population estimate",2020,"Age 40-44",61888,58642,120530
"Mid-year population estimate",2020,"Age 45-49",62770,60984,123754
"Mid-year population estimate",2020,"Age 50-54",66923,64611,131534
"Mid-year population estimate",2020,"Age 55-59",65075,63368,128443
"Mid-year population estimate",2020,"Age 60-64",56275,54344,110619
"Mid-year population estimate",2020,"Age 65-69",46311,45676,91987
"Mid-year population estimate",2020,"Age 70-74",43078,39790,82868
"Mid-year population estimate",2020,"Age 75-79",34844,29974,64818
"Mid-year population estimate",2020,"Age 80-84",24840,18912,43752
"Mid-year population estimate",2020,"Age 85-89",15725,9846,25571
"Mid-year population estimate",2020,"Age 90+",9768,3920,13688
"Mid-year population estimate",2020,"All",965409,935114,1900523
"Mid-year population estimate",2021,"Age 0-4",54983,58049,113032
"Mid-year population estimate",2021,"Age 5-9",60757,63779,124536
"Mid-year population estimate",2021,"Age 10-14",62103,65027,127130
"Mid-year population estimate",2021,"Age 15-19",55384,58394,113778
"Mid-year population estimate",2021,"Age 20-24",53372,56934,110306
"Mid-year population estimate",2021,"Age 25-29",58059,57882,115941
"Mid-year population estimate",2021,"Age 30-34",64715,60716,125431
"Mid-year population estimate",2021,"Age 35-39",65713,61916,127629
"Mid-year population estimate",2021,"Age 40-44",63225,59316,122541
"Mid-year population estimate",2021,"Age 45-49",61325,59613,120938
"Mid-year population estimate",2021,"Age 50-54",66775,63838,130613
"Mid-year population estimate",2021,"Age 55-59",65617,63919,129536
"Mid-year population estimate",2021,"Age 60-64",58174,55753,113927
"Mid-year population estimate",2021,"Age 65-69",47348,46599,93947
"Mid-year population estimate",2021,"Age 70-74",43281,40454,83735
"Mid-year population estimate",2021,"Age 75-79",36046,31216,67262
"Mid-year population estimate",2021,"Age 80-84",24941,19119,44060
"Mid-year population estimate",2021,"Age 85-89",16155,10167,26322
"Mid-year population estimate",2021,"Age 90+",9777,4123,13900
"Mid-year population estimate",2021,"All",967750,936814,1904564
"Mid-year population estimate",2022,"Age 0-4",54565,57367,111932
"Mid-year population estimate",2022,"Age 5-9",60334,63324,123658
"Mid-year population estimate",2022,"Age 10-14",63186,66103,129289
"Mid-year population estimate",2022,"Age 15-19",56224,59940,116164
"Mid-year population estimate",2022,"Age 20-24",50705,54699,105404
"Mid-year population estimate",2022,"Age 25-29",57391,57839,115230
"Mid-year population estimate",2022,"Age 30-34",64202,60587,124789
"Mid-year population estimate",2022,"Age 35-39",66539,62287,128826
"Mid-year population estimate",2022,"Age 40-44",64703,60428,125131
"Mid-year population estimate",2022,"Age 45-49",60331,58097,118428
"Mid-year population estimate",2022,"Age 50-54",65859,63344,129203
"Mid-year population estimate",2022,"Age 55-59",66357,64027,130384
"Mid-year population estimate",2022,"Age 60-64",59687,56969,116656
"Mid-year population estimate",2022,"Age 65-69",48682,47829,96511
"Mid-year population estimate",2022,"Age 70-74",42619,40134,82753
"Mid-year population estimate",2022,"Age 75-79",37570,32470,70040
"Mid-year population estimate",2022,"Age 80-84",25334,19728,45062
"Mid-year population estimate",2022,"Age 85-89",16447,10531,26978
"Mid-year population estimate",2022,"Age 90+",9861,4244,14105
"Mid-year population estimate",2022,"All",970596,939947,1910543
"Mid-year population estimate",2023,"Age 0-4",53474,56432,109906
"Mid-year population estimate",2023,"Age 5-9",59989,62938,122927
"Mid-year population estimate",2023,"Age 10-14",63313,66073,129386
"Mid-year population estimate",2023,"Age 15-19",58472,62148,120620
"Mid-year population estimate",2023,"Age 20-24",49244,53787,103031
"Mid-year population estimate",2023,"Age 25-29",57519,58616,116135
"Mid-year population estimate",2023,"Age 30-34",63370,60726,124096
"Mid-year population estimate",2023,"Age 35-39",67303,62619,129922
"Mid-year population estimate",2023,"Age 40-44",65846,61635,127481
"Mid-year population estimate",2023,"Age 45-49",59821,57160,116981
"Mid-year population estimate",2023,"Age 50-54",64987,62544,127531
"Mid-year population estimate",2023,"Age 55-59",66871,64065,130936
"Mid-year population estimate",2023,"Age 60-64",60709,58239,118948
"Mid-year population estimate",2023,"Age 65-69",50216,48973,99189
"Mid-year population estimate",2023,"Age 70-74",42842,40411,83253
"Mid-year population estimate",2023,"Age 75-79",37962,33016,70978
"Mid-year population estimate",2023,"Age 80-84",26441,20749,47190
"Mid-year population estimate",2023,"Age 85-89",16560,10898,27458
"Mid-year population estimate",2023,"Age 90+",9958,4456,14414
"Mid-year population estimate",2023,"All",974897,945485,1920382
"Mid-year population estimate",2024,"Age 0-4",52216,55050,107266
"Mid-year population estimate",2024,"Age 5-9",59588,62651,122239
"Mid-year population estimate",2024,"Age 10-14",63205,65929,129134
"Mid-year population estimate",2024,"Age 15-19",60067,63563,123630
"Mid-year population estimate",2024,"Age 20-24",49537,54099,103636
"Mid-year population estimate",2024,"Age 25-29",56881,59008,115889
"Mid-year population estimate",2024,"Age 30-34",62723,60608,123331
"Mid-year population estimate",2024,"Age 35-39",67367,63369,130736
"Mid-year population estimate",2024,"Age 40-44",66307,61887,128194
"Mid-year population estimate",2024,"Age 45-49",60417,57529,117946
"Mid-year population estimate",2024,"Age 50-54",63618,61397,125015
"Mid-year population estimate",2024,"Age 55-59",66641,63613,130254
"Mid-year population estimate",2024,"Age 60-64",62016,59375,121391
"Mid-year population estimate",2024,"Age 65-69",52010,49710,101720
"Mid-year population estimate",2024,"Age 70-74",42953,40827,83780
"Mid-year population estimate",2024,"Age 75-79",38071,33531,71602
"Mid-year population estimate",2024,"Age 80-84",27467,21761,49228
"Mid-year population estimate",2024,"Age 85-89",16941,11272,28213
"Mid-year population estimate",2024,"Age 90+",10040,4611,14651
"Mid-year population estimate",2024,"All",978065,949790,1927855
